https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1605312000000,2020-11-14 00:00:00,BNB/USDT,28.19740000,28.19740000,27.36840000,27.93110000,1503467.49900000,41716295.00420330,132361
1605225600000,2020-11-13 00:00:00,BNB/USDT,27.70190000,28.51980000,27.52840000,28.19740000,1934234.55600000,54174977.56430550,172193
1605139200000,2020-11-12 00:00:00,BNB/USDT,28.00570000,28.15990000,27.30280000,27.68740000,1661489.28600000,46197453.38885550,123738
1605052800000,2020-11-11 00:00:00,BNB/USDT,28.21830000,28.59990000,27.79660000,28.01600000,1974074.31000000,55629780.26008140,135668
1604966400000,2020-11-10 00:00:00,BNB/USDT,28.08360000,28.48800000,27.61140000,28.21880000,2172598.76900000,61108713.32456620,155588
1604880000000,2020-11-09 00:00:00,BNB/USDT,28.41010000,28.96910000,27.34610000,28.09410000,2148267.46600000,60645138.32469360,186163
1604793600000,2020-11-08 00:00:00,BNB/USDT,27.76280000,28.69430000,27.44900000,28.41010000,2298549.45500000,64871413.82501860,142614
1604707200000,2020-11-07 00:00:00,BNB/USDT,29.03910000,29.89900000,26.85000000,27.76510000,3091788.82400000,88745055.80820750,259798
1604620800000,2020-11-06 00:00:00,BNB/USDT,27.68600000,29.46920000,27.66680000,29.04350000,2741813.96900000,78788712.44141320,215395
1604534400000,2020-11-05 00:00:00,BNB/USDT,26.96070000,27.89470000,26.66010000,27.68750000,2396900.82200000,65625192.28189150,172414
1604448000000,2020-11-04 00:00:00,BNB/USDT,26.87220000,26.97000000,25.90000000,26.96000000,2039985.34000000,54040159.97019830,150959
1604361600000,2020-11-03 00:00:00,BNB/USDT,27.79840000,27.79840000,25.74990000,26.86380000,2591560.85500000,69103680.17142200,173479
1604275200000,2020-11-02 00:00:00,BNB/USDT,28.54850000,29.30790000,27.77820000,27.79830000,2123599.05200000,60737427.18014970,134858
1604188800000,2020-11-01 00:00:00,BNB/USDT,28.50580000,28.67900000,28.00000000,28.53180000,1916131.68100000,54186354.18994470,91856
1604102400000,2020-10-31 00:00:00,BNB/USDT,28.49690000,28.88800000,28.11320000,28.50580000,1986140.31400000,56676023.16222220,118556
1604016000000,2020-10-30 00:00:00,BNB/USDT,29.86960000,30.25960000,27.51110000,28.49090000,3211305.35800000,91773152.80736990,231147
1603929600000,2020-10-29 00:00:00,BNB/USDT,30.32950000,30.42720000,29.47000000,29.87020000,1977911.04000000,59517443.80816370,136168
1603843200000,2020-10-28 00:00:00,BNB/USDT,31.47300000,31.93750000,29.80000000,30.33380000,2208604.60900000,68301209.61437290,164283
1603756800000,2020-10-27 00:00:00,BNB/USDT,31.04360000,32.37880000,30.90000000,31.48260000,2889326.96800000,91337221.74993180,213681
1603670400000,2020-10-26 00:00:00,BNB/USDT,30.13420000,31.43000000,29.96000000,31.04670000,2648020.16500000,81440471.66157090,175463
1603584000000,2020-10-25 00:00:00,BNB/USDT,30.65220000,30.97260000,29.88050000,30.12800000,1486538.46900000,45200159.74822490,111546
1603497600000,2020-10-24 00:00:00,BNB/USDT,30.64610000,30.87810000,30.42430000,30.66390000,1625502.52400000,49794483.44654040,86612
1603411200000,2020-10-23 00:00:00,BNB/USDT,30.63340000,31.20000000,30.06520000,30.63770000,2025854.80100000,62169451.03847860,130516
1603324800000,2020-10-22 00:00:00,BNB/USDT,29.73550000,31.30000000,29.66550000,30.63960000,2830836.33700000,86720646.82318990,204132
1603238400000,2020-10-21 00:00:00,BNB/USDT,28.81310000,30.40740000,28.64060000,29.73290000,2663615.88900000,78865122.07201490,202279
1603152000000,2020-10-20 00:00:00,BNB/USDT,29.90430000,30.08920000,28.50000000,28.82270000,2583242.44000000,75672316.51136560,186067
1603065600000,2020-10-19 00:00:00,BNB/USDT,30.65680000,30.67660000,29.70020000,29.91070000,1752644.99900000,52880539.76013990,146817
1602979200000,2020-10-18 00:00:00,BNB/USDT,30.24230000,31.03540000,30.16500000,30.65930000,2267377.31700000,69506327.30622060,120261
1602892800000,2020-10-17 00:00:00,BNB/USDT,30.05100000,30.56400000,29.65210000,30.24140000,1854975.62300000,56046581.60836540,101191
1602806400000,2020-10-16 00:00:00,BNB/USDT,31.32560000,31.97980000,29.57050000,30.05160000,2971307.36700000,90779001.72612870,218994
1602720000000,2020-10-15 00:00:00,BNB/USDT,30.83800000,31.66630000,30.39900000,31.32560000,2684900.01400000,83441987.78785030,170840
1602633600000,2020-10-14 00:00:00,BNB/USDT,30.72560000,31.33000000,30.37330000,30.83800000,2472670.44900000,76148974.45063500,171589
1602547200000,2020-10-13 00:00:00,BNB/USDT,30.65030000,31.79990000,30.18700000,30.72560000,3337167.87700000,103376455.25591900,272993
1602460800000,2020-10-12 00:00:00,BNB/USDT,28.52000000,31.12990000,28.43380000,30.65030000,4364790.22100000,131244685.68158820,313690
1602374400000,2020-10-11 00:00:00,BNB/USDT,28.41000000,28.72000000,27.87600000,28.52710000,2329452.66600000,66060639.20725100,150757
1602288000000,2020-10-10 00:00:00,BNB/USDT,28.39800000,29.28140000,28.06660000,28.44140000,2405371.45700000,68983739.73955180,168004
1602201600000,2020-10-09 00:00:00,BNB/USDT,27.73420000,28.53680000,27.45480000,28.40760000,2590468.08300000,72830100.20340750,181950
1602115200000,2020-10-08 00:00:00,BNB/USDT,27.69310000,27.81530000,26.49990000,27.74240000,2476236.46100000,67563734.79173410,176594
1602028800000,2020-10-07 00:00:00,BNB/USDT,27.69070000,27.89650000,26.84010000,27.68980000,2059951.00700000,56522074.42199160,168923
1601942400000,2020-10-06 00:00:00,BNB/USDT,28.63300000,28.99000000,27.25000000,27.68120000,2811072.14500000,79233644.34728980,224718
1601856000000,2020-10-05 00:00:00,BNB/USDT,28.98320000,29.26650000,28.06870000,28.61580000,2268257.17100000,65226739.00450080,153121
1601769600000,2020-10-04 00:00:00,BNB/USDT,28.18720000,29.15000000,27.96580000,28.96680000,3102597.66000000,89029435.36271630,158215
1601683200000,2020-10-03 00:00:00,BNB/USDT,27.33380000,28.39970000,27.07010000,28.18670000,2946071.99200000,81824336.49150280,162910
1601596800000,2020-10-02 00:00:00,BNB/USDT,27.45830000,28.36330000,25.66520000,27.33690000,4141965.56600000,111875266.05067520,259960
1601510400000,2020-10-01 00:00:00,BNB/USDT,29.26960000,29.39270000,26.21110000,27.46730000,4045336.88200000,112775178.82404640,243313
