https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1601942400000,2020-10-06 00:00:00,EOS/USDT,2.52620000,2.97110000,2.48580000,2.69590000,39521912.51000000,108422381.39006400,223867
1601856000000,2020-10-05 00:00:00,EOS/USDT,2.51720000,2.53780000,2.48960000,2.52570000,4975314.38000000,12507258.72149400,25776
1601769600000,2020-10-04 00:00:00,EOS/USDT,2.47770000,2.53420000,2.46450000,2.51760000,5213723.42000000,13042532.78699900,26240
1601683200000,2020-10-03 00:00:00,EOS/USDT,2.47920000,2.50170000,2.46750000,2.47860000,3208406.62000000,7968479.39996200,19947
1601596800000,2020-10-02 00:00:00,EOS/USDT,2.54400000,2.55760000,2.41320000,2.47870000,8132938.58000000,20181962.05325800,50552
1601510400000,2020-10-01 00:00:00,EOS/USDT,2.57760000,2.63200000,2.48610000,2.54460000,7519319.67000000,19288752.51519200,45824
1601424000000,2020-09-30 00:00:00,EOS/USDT,2.59940000,2.60010000,2.55560000,2.57770000,5077013.15000000,13073483.48203100,26501
1601337600000,2020-09-29 00:00:00,EOS/USDT,2.56250000,2.60290000,2.55390000,2.59950000,6145092.38000000,15844683.31876400,33412
1601251200000,2020-09-28 00:00:00,EOS/USDT,2.58970000,2.63330000,2.55030000,2.56260000,9444420.85000000,24552307.81891100,48469
1601164800000,2020-09-27 00:00:00,EOS/USDT,2.56550000,2.60110000,2.52640000,2.58970000,6135356.97000000,15756292.84303900,36949
1601078400000,2020-09-26 00:00:00,EOS/USDT,2.54400000,2.60580000,2.50510000,2.56550000,6104966.56000000,15612018.12131600,36808
1600992000000,2020-09-25 00:00:00,EOS/USDT,2.53440000,2.56350000,2.46290000,2.54450000,9169817.92000000,23101259.93137400,51092
1600905600000,2020-09-24 00:00:00,EOS/USDT,2.44230000,2.56120000,2.42390000,2.53370000,8392178.92000000,20903244.46842700,51818
1600819200000,2020-09-23 00:00:00,EOS/USDT,2.57190000,2.57850000,2.39070000,2.44230000,7620003.34000000,19076861.37610400,45412
