Date,Price,Open,High,Low,Vol.,Change %
Jan 10 2020,1587.00,1577.60,1589.60,1574.10,2.73K,0.35%
Jan 09 2020,1581.40,1583.00,1587.50,1570.20,1.43K,-0.35%
Jan 08 2020,1587.00,1603.30,1637.90,1581.50,3.32K,-0.89%
Jan 07 2020,1601.30,1594.50,1605.50,1586.50,2.57K,0.33%
Jan 06 2020,1596.10,1590.20,1615.30,1590.00,2.80K,1.04%
Jan 03 2020,1579.60,1561.60,1583.60,1561.60,5.12K,1.57%
Jan 02 2020,1555.20,1548.70,1559.50,1548.20,1.25K,2.25%
Jan 01 2020,1520.95,1520.85,1523.95,1520.85,-,-1.91%
Dec 31 2019,1550.60,1546.70,1555.00,1546.40,0.67K,0.34%
Dec 30 2019,1545.40,1543.90,1545.50,1540.10,0.46K,0.06%
Dec 27 2019,1544.40,1540.70,1545.00,1540.00,0.29K,0.27%
Dec 26 2019,1540.30,1528.90,1543.00,1528.40,1.02K,2.41%
Dec 25 2019,1504.05,1504.40,1504.40,1502.15,-,-1.73%
Dec 24 2019,1530.50,1518.60,1530.10,1518.60,0.45K,1.06%
Dec 23 2019,1514.40,1510.70,1514.90,1510.70,0.39K,0.53%
Dec 20 2019,1506.40,1508.10,1510.00,1505.20,0.44K,-0.24%
Dec 19 2019,1510.00,1505.40,1510.40,1503.50,0.57K,0.38%
Dec 18 2019,1504.30,1506.40,1508.50,1501.70,1.56K,-0.17%
Dec 17 2019,1506.80,1505.80,1510.00,1505.00,0.21K,0.01%
Dec 16 2019,1506.70,1505.40,1509.40,1503.90,0.42K,-0.01%
Dec 13 2019,1506.90,1493.00,1507.90,1493.00,0.47K,0.63%
Dec 12 2019,1497.50,1511.20,1514.00,1494.10,0.17K,-0.17%
Dec 11 2019,1500.10,1500.00,1507.00,1497.50,0.14K,0.46%
Dec 10 2019,1493.20,1490.60,1496.00,1489.70,0.14K,0.23%
Dec 09 2019,1489.80,1493.20,1493.20,1489.40,0.30K,-0.01%
Dec 06 2019,1489.90,1503.00,1506.00,1488.00,0.44K,-1.17%
Dec 05 2019,1507.50,1505.00,1508.00,1503.00,0.23K,0.20%
Dec 04 2019,1504.50,1509.10,1513.50,1502.50,0.46K,-0.27%
Dec 03 2019,1508.60,1491.10,1510.30,1491.10,0.45K,1.04%
Dec 02 2019,1493.10,1494.00,1495.30,1485.00,0.17K,-0.23%
Nov 29 2019,1496.60,1488.00,1495.40,1484.20,0.19K,2.35%
Nov 28 2019,1462.25,1463.25,1464.55,1460.75,-,-1.49%
Nov 27 2019,1484.40,1489.20,1490.20,1483.90,0.22K,-0.44%
Nov 26 2019,1491.00,1484.30,1492.00,1481.00,0.31K,0.19%
Nov 25 2019,1488.10,1490.90,1492.00,1485.20,0.94K,-0.42%
Nov 22 2019,1494.40,1497.70,1502.30,1492.00,0.70K,0.03%
Nov 21 2019,1494.00,1505.50,1505.70,1494.00,0.49K,-0.70%
Nov 20 2019,1504.50,1505.50,1509.20,1498.00,0.69K,-0.02%
Nov 19 2019,1504.80,1501.30,1506.10,1497.00,1.03K,0.16%
Nov 18 2019,1502.40,1498.40,1502.80,1488.80,0.82K,0.22%
Nov 15 2019,1499.10,1496.30,1499.90,1495.90,0.07K,-0.33%
Nov 14 2019,1504.00,1495.10,1504.70,1494.80,0.84K,0.68%
Nov 13 2019,1493.90,1489.90,1498.10,1489.90,0.74K,0.65%
Nov 12 2019,1484.20,1487.80,1488.50,1480.00,0.93K,-0.26%
Nov 11 2019,1488.00,1494.00,1494.00,1480.10,0.73K,-0.55%
Nov 08 2019,1496.30,1500.50,1503.00,1488.80,0.35K,-0.09%
Nov 07 2019,1497.70,1520.10,1520.10,1495.10,1.32K,-1.72%
Nov 06 2019,1523.90,1516.70,1525.40,1516.10,0.69K,0.62%
Nov 05 2019,1514.50,1535.00,1535.00,1513.00,1.77K,-1.76%
Nov 04 2019,1541.60,1544.80,1544.80,1541.00,0.83K,0.02%
Nov 01 2019,1541.30,1542.10,1545.00,1538.00,0.20K,-0.17%
Oct 31 2019,1544.00,1527.00,1545.00,1527.00,0.17K,1.15%
Oct 30 2019,1526.50,1520.80,1526.50,1513.20,1.90K,0.39%
Oct 29 2019,1520.60,1524.20,1524.20,1515.50,0.22K,-0.34%
Oct 28 2019,1525.80,1535.70,1536.20,1523.50,0.16K,-0.61%
Oct 25 2019,1535.10,1537.50,1549.90,1535.00,0.07K,0.08%
Oct 24 2019,1533.90,1524.30,1534.70,1522.00,0.28K,0.59%
Oct 23 2019,1524.90,1522.00,1526.10,1522.00,0.03K,0.55%
Oct 22 2019,1516.60,1517.30,1519.00,1515.00,0.01K,-0.05%
Oct 21 2019,1517.30,1524.90,1524.90,1515.00,0.11K,-0.37%
Oct 18 2019,1523.00,1526.10,1526.10,1519.50,0.16K,-0.31%
Oct 17 2019,1527.80,1519.90,1527.60,1519.90,0.21K,0.29%
Oct 16 2019,1523.40,1515.50,1522.20,1510.00,0.20K,0.68%
Oct 15 2019,1513.10,1522.90,1524.50,1513.00,0.23K,-0.92%
Oct 14 2019,1527.10,1529.00,1530.00,1524.40,0.03K,0.61%
Oct 11 2019,1517.80,1533.70,1534.60,1508.00,1.04K,-0.78%
Oct 10 2019,1529.70,1548.00,1548.00,1526.00,0.13K,-0.74%
Oct 09 2019,1541.10,1539.70,1543.00,1535.00,0.43K,0.60%
